Team,PTS_AVG,PTS,PTS_OPP_AVG,PTS_OPP,WIN/LOSS_AVG,WIN/LOSS,FG_AVG,FG,FGA_AVG,FGA,FG_PCT_AVG,FG_PCT,FG3_AVG,FG3,FG3A_AVG,FG3A,FG3_PCT_AVG,FG3_PCT,FT_AVG,FT,FTA_AVG,FTA,FT_PCT_AVG,FT_PCT,ORB_AVG,ORB,DRB_AVG,DRB,AST_AVG,AST,STL_AVG,STL,BLK_AVG,BLK,TOV_AVG,TOV,PF_AVG,PF,WIN/LOSS_OPP_AVG,WIN/LOSS_OPP,FG_OPP_AVG,FG_OPP,FGA_OPP_AVG,FGA_OPP,FG_PCT_OPP_AVG,FG_PCT_OPP,FG3_OPP_AVG,FG3_OPP,FG3A_OPP_AVG,FG3A_OPP,FG3_PCT_OPP_AVG,FG3_PCT_OPP,FT_OPP_AVG,FT_OPP,FTA_OPP_AVG,FTA_OPP,FT_PCT_OPP_AVG,FT_PCT_OPP,ORB_OPP_AVG,ORB_OPP,DRB_OPP_AVG,DRB_OPP,AST_OPP_AVG,AST_OPP,STL_OPP_AVG,STL_OPP,BLK_OPP_AVG,BLK_OPP,TOV_OPP_AVG,TOV_OPP,PF_OPP_AVG,PF_OPP,TRB,TRB_AVG,TRB_OPP,TRB_OPP_AVG,HOME/AWAY
Memphis,119.0,116.0,112.3,115.0,1.0,1.0,44.0,39.0,90.3,90.0,0.48700000000000004,0.433,12.7,11.0,38.0,46.0,0.33299999999999996,0.239,18.3,27.0,25.0,32.0,0.733,0.8440000000000001,10.3,8.0,37.0,42.0,26.7,24.0,8.0,10.0,10.3,17.0,16.7,18.0,18.0,24.0,0.0,0.0,41.7,42.0,94.3,97.0,0.442,0.433,13.7,10.0,42.0,31.0,0.325,0.32299999999999995,15.3,21.0,21.3,33.0,0.7190000000000001,0.636,11.7,10.0,30.3,36.0,24.7,18.0,10.7,12.0,6.7,6.0,14.3,15.0,23.0,26.0,50.0,47.3,46.0,42.0,0.0
Miami,118.7,119.0,110.7,113.0,1.0,1.0,40.0,40.0,84.3,84.0,0.474,0.47600000000000003,14.7,12.0,33.3,32.0,0.44,0.375,24.0,27.0,29.7,35.0,0.809,0.7709999999999999,11.7,13.0,36.0,43.0,24.3,27.0,6.0,5.0,3.7,7.0,14.0,14.0,17.3,17.0,0.0,0.0,41.0,40.0,93.0,94.0,0.441,0.426,15.0,17.0,45.0,45.0,0.33299999999999996,0.37799999999999995,13.7,16.0,19.3,25.0,0.7070000000000001,0.64,10.7,5.0,32.0,31.0,27.0,23.0,9.3,11.0,3.7,4.0,11.3,8.0,23.0,22.0,56.0,47.7,36.0,42.7,1.0
Milwaukee,132.0,144.0,120.7,122.0,0.667,1.0,48.3,52.0,91.7,89.0,0.527,0.584,17.3,23.0,41.7,51.0,0.41600000000000004,0.451,18.0,17.0,23.3,23.0,0.7709999999999999,0.7390000000000001,12.3,8.0,33.7,33.0,30.7,41.0,5.7,6.0,4.7,8.0,11.7,10.0,21.0,18.0,0.333,0.0,45.3,45.0,95.3,101.0,0.47600000000000003,0.446,8.0,7.0,29.0,32.0,0.276,0.21899999999999997,22.0,25.0,25.3,29.0,0.868,0.862,11.7,17.0,31.3,30.0,24.3,29.0,6.3,7.0,2.7,2.0,10.7,9.0,19.0,17.0,41.0,46.0,47.0,43.0,0.0
Minnesota,111.3,106.0,112.7,129.0,0.667,0.0,40.0,34.0,82.3,73.0,0.486,0.466,12.0,12.0,32.0,27.0,0.375,0.444,19.3,26.0,23.7,32.0,0.8170000000000001,0.813,8.0,8.0,31.0,26.0,28.3,22.0,10.0,8.0,4.3,1.0,16.7,24.0,17.7,16.0,0.333,1.0,42.3,49.0,83.0,81.0,0.51,0.605,12.0,18.0,32.0,39.0,0.375,0.462,16.0,13.0,20.3,16.0,0.787,0.813,6.0,3.0,29.7,26.0,26.3,35.0,8.3,9.0,5.0,7.0,14.7,15.0,20.7,24.0,34.0,39.0,29.0,35.7,0.0
New Orleans,114.0,115.0,108.7,116.0,0.333,0.0,42.3,42.0,88.3,97.0,0.479,0.433,11.0,10.0,32.3,31.0,0.34,0.32299999999999995,18.3,21.0,26.0,33.0,0.705,0.636,10.0,10.0,34.0,36.0,23.7,18.0,9.3,12.0,5.7,6.0,13.3,15.0,21.0,26.0,0.667,1.0,38.3,39.0,86.3,90.0,0.444,0.433,12.3,11.0,39.7,46.0,0.311,0.239,19.7,27.0,25.0,32.0,0.787,0.8440000000000001,9.0,8.0,34.0,42.0,26.3,24.0,7.7,10.0,7.3,17.0,14.0,18.0,19.0,24.0,46.0,44.0,50.0,43.0,1.0
New York,120.0,120.0,127.0,129.0,0.333,0.0,44.0,41.0,89.0,82.0,0.494,0.5,10.3,14.0,29.7,34.0,0.348,0.41200000000000003,21.7,24.0,25.7,30.0,0.8440000000000001,0.8,9.0,9.0,31.7,31.0,22.7,24.0,4.7,2.0,2.7,2.0,13.7,18.0,20.3,21.0,0.667,1.0,47.3,49.0,92.0,90.0,0.514,0.544,14.3,14.0,35.3,32.0,0.406,0.43799999999999994,18.0,17.0,23.0,22.0,0.7829999999999999,0.773,10.7,3.0,30.7,24.0,23.7,20.0,5.7,6.0,5.3,10.0,9.7,4.0,22.0,21.0,40.0,40.7,27.0,41.4,0.0
Okla City,126.0,129.0,118.3,120.0,0.667,1.0,48.0,49.0,88.7,90.0,0.541,0.544,15.0,14.0,37.3,32.0,0.402,0.43799999999999994,15.0,17.0,19.0,22.0,0.789,0.773,5.7,3.0,27.0,24.0,26.3,20.0,7.0,6.0,8.0,10.0,9.3,4.0,20.7,21.0,0.333,0.0,40.7,41.0,81.7,82.0,0.498,0.5,14.0,14.0,31.0,34.0,0.452,0.41200000000000003,23.0,24.0,28.3,30.0,0.812,0.8,8.3,9.0,31.0,31.0,27.7,24.0,5.7,2.0,3.3,2.0,17.0,18.0,16.7,21.0,27.0,32.7,40.0,39.3,1.0
Orlando,112.0,92.0,113.7,112.0,0.667,0.0,39.7,31.0,81.7,79.0,0.486,0.392,9.0,9.0,25.7,33.0,0.35100000000000003,0.273,23.7,21.0,30.0,24.0,0.789,0.875,8.7,9.0,32.0,34.0,23.0,17.0,8.3,5.0,7.0,11.0,15.7,16.0,17.3,18.0,0.333,1.0,43.7,45.0,88.3,96.0,0.494,0.469,13.7,10.0,34.7,28.0,0.39399999999999996,0.35700000000000004,12.7,12.0,17.0,17.0,0.745,0.706,9.7,12.0,33.0,36.0,22.7,14.0,9.0,10.0,7.3,8.0,15.0,10.0,23.3,19.0,43.0,40.7,48.0,42.7,1.0
Philadelphia,115.3,112.0,107.3,92.0,0.667,1.0,43.0,45.0,91.0,96.0,0.473,0.469,13.7,10.0,34.7,28.0,0.39399999999999996,0.35700000000000004,15.7,12.0,21.0,17.0,0.746,0.706,6.7,12.0,34.0,36.0,23.7,14.0,9.0,10.0,6.0,8.0,10.7,10.0,20.7,19.0,0.333,0.0,36.7,31.0,83.3,79.0,0.44,0.392,10.0,9.0,32.7,33.0,0.306,0.273,24.0,21.0,29.0,24.0,0.828,0.875,11.0,9.0,37.3,34.0,24.7,17.0,6.3,5.0,8.0,11.0,14.0,16.0,17.0,18.0,48.0,40.7,43.0,48.3,0.0
Phoenix,116.0,129.0,120.3,113.0,0.333,1.0,42.0,47.0,86.7,82.0,0.485,0.573,11.0,14.0,33.0,33.0,0.33299999999999996,0.424,21.0,21.0,26.3,26.0,0.797,0.8079999999999999,12.3,8.0,33.0,36.0,25.0,28.0,5.7,4.0,5.7,11.0,16.7,19.0,19.0,17.0,0.667,0.0,43.0,40.0,87.7,96.0,0.49,0.41700000000000004,15.0,17.0,41.0,41.0,0.366,0.415,19.3,16.0,26.0,22.0,0.7440000000000001,0.727,8.0,9.0,28.0,24.0,26.7,20.0,8.3,11.0,5.3,3.0,11.7,10.0,21.7,21.0,44.0,45.3,33.0,36.0,0.0
Portland,117.7,130.0,119.0,113.0,0.333,1.0,43.3,49.0,92.3,98.0,0.469,0.5,14.3,16.0,35.0,40.0,0.41,0.4,16.7,16.0,22.7,20.0,0.735,0.8,14.7,16.0,27.7,30.0,26.0,28.0,8.3,5.0,4.7,5.0,12.7,10.0,21.3,17.0,0.667,0.0,45.0,45.0,86.7,93.0,0.519,0.484,10.7,10.0,35.0,42.0,0.305,0.23800000000000002,18.3,13.0,24.0,16.0,0.764,0.813,10.3,11.0,31.7,29.0,29.7,25.0,7.3,5.0,5.0,7.0,14.0,12.0,15.7,16.0,46.0,42.4,40.0,42.0,1.0
Sacramento,110.3,113.0,115.0,130.0,0.333,0.0,42.0,45.0,87.0,93.0,0.483,0.484,10.0,10.0,37.7,42.0,0.265,0.23800000000000002,16.3,13.0,21.0,16.0,0.778,0.813,8.7,11.0,30.3,29.0,26.7,25.0,7.3,5.0,5.3,7.0,12.3,12.0,20.0,16.0,0.667,1.0,44.0,49.0,91.0,98.0,0.484,0.5,10.3,16.0,32.7,40.0,0.316,0.4,16.7,16.0,20.7,20.0,0.8059999999999999,0.8,12.7,16.0,32.0,30.0,26.0,28.0,7.3,5.0,4.7,5.0,12.3,10.0,18.0,17.0,40.0,39.0,46.0,44.7,0.0
San Antonio,110.7,118.0,129.3,130.0,0.0,0.0,41.7,44.0,92.3,98.0,0.451,0.449,13.3,16.0,36.7,35.0,0.364,0.457,14.0,14.0,20.3,21.0,0.6890000000000001,0.667,10.0,13.0,32.0,30.0,30.7,36.0,7.7,8.0,6.0,8.0,12.7,9.0,15.0,18.0,1.0,1.0,49.3,47.0,95.0,95.0,0.519,0.495,15.3,16.0,38.7,43.0,0.397,0.37200000000000005,15.3,20.0,18.0,22.0,0.852,0.909,9.7,13.0,37.3,40.0,28.0,34.0,7.3,4.0,6.0,7.0,13.0,14.0,19.0,21.0,43.0,42.0,53.0,47.0,1.0
Toronto,120.7,132.0,116.3,102.0,0.333,1.0,45.3,52.0,90.7,91.0,0.5,0.5710000000000001,12.3,15.0,34.3,38.0,0.359,0.395,17.7,13.0,22.0,19.0,0.8029999999999999,0.684,12.3,14.0,33.7,39.0,36.0,43.0,9.3,12.0,5.3,5.0,14.3,20.0,17.0,18.0,0.667,0.0,44.7,42.0,88.0,90.0,0.508,0.467,13.0,8.0,34.0,33.0,0.382,0.242,14.0,10.0,16.7,15.0,0.84,0.667,7.0,10.0,30.7,24.0,31.3,25.0,8.0,11.0,4.7,3.0,14.3,17.0,18.3,17.0,53.0,46.0,34.0,37.7,0.0
Utah,125.0,130.0,116.0,118.0,1.0,1.0,46.0,47.0,93.3,95.0,0.493,0.495,14.7,16.0,37.0,43.0,0.396,0.37200000000000005,18.3,20.0,20.0,22.0,0.917,0.909,12.0,13.0,34.0,40.0,31.7,34.0,8.7,4.0,6.3,7.0,13.0,14.0,18.7,21.0,0.0,0.0,44.0,44.0,92.7,98.0,0.475,0.449,12.7,16.0,32.7,35.0,0.38799999999999996,0.457,15.3,14.0,19.7,21.0,0.78,0.667,12.3,13.0,28.7,30.0,31.7,36.0,7.0,8.0,7.3,8.0,13.7,9.0,18.0,18.0,53.0,46.0,43.0,41.0,0.0
Washington,113.0,102.0,129.3,132.0,0.0,0.0,43.0,42.0,91.3,90.0,0.47100000000000003,0.467,11.7,8.0,36.7,33.0,0.318,0.242,15.3,10.0,20.0,15.0,0.767,0.667,9.7,10.0,30.3,24.0,25.7,25.0,9.3,11.0,5.0,3.0,15.3,17.0,18.0,17.0,1.0,1.0,49.3,52.0,93.7,91.0,0.527,0.5710000000000001,15.0,15.0,36.3,38.0,0.413,0.395,15.7,13.0,21.3,19.0,0.7340000000000001,0.684,11.7,14.0,38.3,39.0,35.3,43.0,9.3,12.0,4.0,5.0,16.0,20.0,17.0,18.0,34.0,40.0,53.0,50.0,1.0
